"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-01-31,87216,"66535","KS","Manhattan","Pottawatomie","Saint George",13197,186700,-0.00426666666666667,-0.0137348124669836,0.0130222463374932,0.0281540498601736,,"2017-10","2017-Q4",189300,-0.0137348124669836,"2017-04"
2018-01-31,64374,"15935","PA","Somerset","Somerset","Conemaugh Township",13198,81000,-0.00613496932515337,-0.0287769784172662,-0.102990033222591,-0.0048664110902461,-0.0101502959202007,"2009-06","2009-Q2",95800,-0.154488517745303,"2007-06"
2018-01-31,65008,"17304","PA","Gettysburg","Adams","Menallen Township",13199,184400,-0.00539374325782093,-0.00162425554953979,0.000542593597395551,0.0285364354499575,-0.00995331556128953,"2008-05","2008-Q2",205800,-0.103984450923226,"2006-06"
2018-01-31,80645,"51239","IA",,"Sioux","Hull",13200,153900,-0.00965250965250965,-0.0184948979591837,-0.14689578713969,0.0182411868270467,,"2017-01","2017-Q1",180400,-0.14689578713969,"2015-10"
2018-01-31,58408,"01529","MA","Worcester","Worcester","Millville",13201,309100,0.00357142857142857,0.00651253663301856,0.0781304499476805,0.0669996955820338,0.004170435232276,"2006-05","2006-Q2",329700,-0.0624810433727631,"2004-11"
2018-01-31,75425,"39766","MS","Columbus","Lowndes","Steens",13202,124500,0.0113728675873274,0.0383653044203503,0.0154975530179445,0.0174208877722013,0.0106368578456093,"2009-11","2009-Q4",137500,-0.0945454545454545,"2009-01"
2018-01-31,62752,"12789","NY",,"Sullivan","Woodridge",13203,99100,0.00202224469160768,0.0322916666666667,0.037696335078534,0.0140989584202982,-0.0411134404247821,"2006-05","2006-Q2",165400,-0.400846432889964,"2003-08"
2018-01-31,79636,"49252","MI","Hillsdale","Hillsdale","Litchfield",13204,120300,0.00838222967309304,0.0282051282051282,0.0361757105943152,0.0869222722014698,0.0244325800284559,"2018-01","2018-Q1",120300,0,"2018-01"
2018-01-31,80881,"52211","IA",,"Poweshiek","Brooklyn",13205,99200,0.00506585612968592,0.0205761316872428,-0.138888888888889,-0.0281099643131053,-0.00189541260604187,"2015-09","2015-Q3",116300,-0.147033533963886,"2010-06"
2018-01-31,73675,"35987","AL","Birmingham","Saint Clair","Steele",13206,105900,-0.000943396226415094,-0.0653133274492498,-0.114548494983278,0.0036274339646809,0.0108146888235825,"2016-12","2016-Q4",120500,-0.121161825726141,"2015-07"
2018-01-31,90349,"74330","OK",,"Mayes","Adair",13207,146200,0.00550206327372765,0.0259649122807018,0.0540735400144196,0.0784895223003486,0.0471807380450271,"2018-01","2018-Q1",146200,0,"2018-01"
2018-01-31,87967,"68372","NE","Lincoln","Lancaster","Hickman",13208,184900,-0.00377155172413793,-0.00698174006444683,0.0565714285714286,0.0492391837857069,0.0375442709223013,"2017-11","2017-Q4",186500,-0.00857908847184987,"2017-09"
2018-01-31,79952,"49799","MI",,"Cheboygan","Wolverine",13209,97900,0.0113636363636364,0.0187304890738814,-0.0150905432595573,,,"2016-03","2016-Q1",101900,-0.0392541707556428,"2016-02"
2018-01-31,78383,"46982","IN","Warsaw","Kosciusko","Silver Lake",13210,87600,0,0.0245614035087719,0.0245614035087719,,,"2016-02","2016-Q1",89100,-0.0168350168350168,"2016-01"
2018-01-31,99219,"97358","OR","Albany","Linn","Lyons",13211,255000,0.00870253164556962,0.0278113663845224,0.0837229069273268,0.0848549317354101,0.0113434033875428,"2018-01","2018-Q1",255000,0,"2018-01"
2018-01-31,75898,"41059","KY","Cincinnati","Campbell","Melbourne",13212,150300,0.002,0.0094022834116857,0.0652019844082211,0.0490467609942498,,"2018-01","2018-Q1",150300,0,"2018-01"
2018-01-31,91115,"75859","TX",,"Freestone","Streetman",13213,255300,-0.00969743987587277,-0.0340522133938706,0.0323493732308937,-0.00995790461841628,,"2013-11","2013-Q4",320200,-0.202685821361649,"2011-09"
2018-01-31,82092,"55080","MN","Minneapolis-St Paul","Chisago","Stanchfield",13214,199700,-0.00597312095569935,-0.00199900049975012,0.00807672892478546,0.0664043319513223,0.000451796649305836,"2005-10","2005-Q4",219700,-0.0910332271279017,"2004-05"
2018-01-31,59125,"03447","NH","Keene","Cheshire","Fitzwilliam",13215,188400,0.0323287671232877,0.0590219224283305,0.16656346749226,0.0474807733920466,-0.0016307135871928,"2006-11","2006-Q4",205000,-0.0809756097560976,"2005-02"
2018-01-31,58318,"01257","MA","Pittsfield","Berkshire","Sheffield",13216,256500,-0.00233372228704784,0.00904799370574351,-0.00155702608018684,-0.00604852226534214,-0.0147522669864943,"2007-04","2007-Q2",309100,-0.170171465545131,"2003-10"
2018-01-31,70948,"30182","GA","Atlanta","Carroll","Mount Zion",13217,106100,-0.0139405204460967,-0.0380779691749773,0.00283553875236295,0.0629228080127859,-0.00342197998061256,"2017-09","2017-Q3",111100,-0.045004500450045,"2017-02"
2018-01-31,77146,"44401","OH","Youngstown","Mahoning","Berlin Center",13218,167200,-0.00535395597858418,-0.0065359477124183,0.045,0.0351146021536162,0.0279629572631452,"2017-11","2017-Q4",168800,-0.00947867298578199,"2017-10"
2018-01-31,60732,"07641","NJ","New York","Bergen","Haworth",13219,675600,-0.000739535571660997,0.00595592614651578,0.0521725587914655,0.0303462262765157,-0.000766445363138413,"2006-01","2006-Q1",717400,-0.0582659604126011,"2005-07"
2018-01-31,83088,"57030","SD","Sioux Falls","Minnehaha","Garretson",13220,222100,-0.0115709835336004,-0.00403587443946188,0.0521080056845097,0.0567925199914372,0.0315479392554123,"2017-11","2017-Q4",225200,-0.013765541740675,"2017-10"
2018-01-31,84209,"59834","MT","Missoula","Missoula","Frenchtown",13221,317400,0.00474833808167141,0.00857959961868446,0.0862422997946612,0.0331067407061545,0.00809993096809314,"2009-05","2009-Q2",331400,-0.0422450211225106,"2009-02"
2018-01-31,78945,"48069","MI","Detroit","Oakland","Pleasant Ridge",13222,330600,-0.00271493212669683,0.00151469251741896,0.0200555384140697,0.0767660400000665,0.0325023978425001,"2017-11","2017-Q4",332300,-0.00511585916340656,"2017-11"
2018-01-31,77284,"44677","OH","Wooster","Wayne","Smithville",13223,143700,-0.0123711340206186,-0.0231135282121006,0.0772113943028486,0.0375708753114772,0.0176793120621599,"2017-11","2017-Q4",147300,-0.0244399185336049,"2017-07"
2018-01-31,82438,"55769","MN",,"Itasca","Nashwauk",13224,110500,-0.0186500888099467,-0.0627650551314674,-0.089035449299258,0.0216040498808661,-0.0222617200978265,"2006-10","2006-Q4",158900,-0.304594084329767,"2005-09"
2018-01-31,78540,"47338","IN","Muncie","Delaware","Eaton",13225,78000,0.0209424083769634,0.0441767068273092,0.0512129380053908,0.0314866893006689,0.00155162117398699,"2005-04","2005-Q2",93900,-0.169329073482428,"2001-06"
2018-01-31,66902,"21539","MD","Cumberland","Allegany","Lonaconing",13226,62700,-0.00476190476190476,-0.0263975155279503,0.0791738382099828,0.0196028832100885,-0.0116566547988095,"2007-12","2007-Q4",70600,-0.111898016997167,"2005-10"
